JSONStream, 1.3.5, "(MIT OR Apache-2.0)"
acorn, 5.7.3, MIT
acorn, 7.1.1, MIT
acorn-node, 1.8.2, "Apache 2.0"
acorn-walk, 7.1.1, MIT
amdefine, 1.0.1, "BSD-3-Clause OR MIT"
assert, 1.3.0, MIT
balanced-match, 1.0.0, MIT
base64-js, 1.3.1, MIT
brace-expansion, 1.1.11, MIT
brfs, 1.4.3, MIT
brorand, 1.1.0, MIT
browser-pack, 6.1.0, MIT
browser-resolve, 1.11.3, MIT
browserify, 13.1.1, MIT
browserify-aes, 1.2.0, MIT
browserify-cipher, 1.0.1, MIT
browserify-des, 1.0.2, MIT
browserify-rsa, 4.0.1, MIT
browserify-sign, 4.0.4, ISC
browserify-zlib, 0.1.4, MIT
buffer, 4.9.2, MIT
buffer-equal, 0.0.1, MIT
buffer-from, 1.1.1, MIT
buffer-xor, 1.0.3, MIT
builtin-status-codes, 3.0.0, MIT
cached-path-relative, 1.0.2, MIT
cipher-base, 1.0.4, MIT
combine-source-map, 0.8.0, MIT
concat-map, 0.0.1, MIT
concat-stream, 1.5.2, MIT
concat-stream, 1.6.2, MIT
console-browserify, 1.2.0, MIT
constants-browserify, 1.0.0, MIT
convert-source-map, 1.1.3, MIT
core-util-is, 1.0.2, MIT
create-ecdh, 4.0.3, MIT
create-hash, 1.2.0, MIT
create-hmac, 1.1.7, MIT
crypto-browserify, 3.12.0, MIT
dash-ast, 1.0.0, "Apache 2.0"
defined, 1.0.0, MIT
deps-sort, 2.0.1, MIT
detective, 4.7.1, MIT
diffie-hellman, 5.0.3, MIT
domain-browser, 1.1.7, MIT
duplexer2, 0.0.2, BSD
duplexer2, 0.1.4, "New BSD"
elliptic, 6.5.2, MIT
escodegen, 0.0.28, BSD
escodegen, 1.3.3, BSD
esprima, 1.0.4, BSD
esprima, 1.1.1, BSD
estraverse, 1.3.2, BSD
estraverse, 1.5.1, BSD
esutils, 1.0.0, BSD
events, 1.1.1, MIT
evp_bytestokey, 1.0.3, MIT
falafel, 2.1.0, MIT
fast-safe-stringify, 2.0.7, MIT
foreach, 2.0.5, MIT
function-bind, 1.1.1, MIT
get-assigned-identifiers, 1.2.0, "Apache 2.0"
glob, 5.0.15, ISC
has, 1.0.3, MIT
hash-base, 3.0.4, MIT
hmac-drbg, 1.0.1, MIT
htmlescape, 1.1.1, MIT
https-browserify, 0.0.1, MIT
ieee754, 1.1.13, "New BSD"
indexof, 0.0.1, MIT
inflight, 1.0.6, ISC
inherits, 2.0.1, ISC
inherits, 2.0.3, ISC
inherits, 2.0.4, ISC
inline-source-map, 0.6.2, MIT
insert-module-globals, 7.2.0, MIT
is-buffer, 1.1.6, MIT
isarray, 0.0.1, MIT
isarray, 1.0.0, MIT
json-stable-stringify, 0.0.1, MIT
jsonify, 0.0.0, "Public Domain"
jsonparse, 1.3.1, MIT
labeled-stream-splicer, 2.0.2, MIT
mapillary_sprite_source, 1.8.0, MIT
miller-rabin, 4.0.1, MIT
minimalistic-assert, 1.0.1, ISC
minimalistic-crypto-utils, 1.0.1, MIT
minimatch, 3.0.4, ISC
minimist, 0.0.8, MIT
minimist, 1.2.0, MIT
module-deps, 4.1.1, MIT
multiline, 1.0.2, MIT
object-inspect, 0.4.0, MIT
object-keys, 0.4.0, MIT
object-keys, 1.1.1, MIT
once, 1.4.0, ISC
os-browserify, 0.1.2, MIT
pako, 0.2.9, MIT
parents, 1.0.1, MIT
parse-asn1, 5.1.5, ISC
path-browserify, 0.0.1, MIT
path-is-absolute, 1.0.1, MIT
path-parse, 1.0.6, MIT
path-platform, 0.11.15, MIT
pbkdf2, 3.0.17, MIT
process, 0.11.10, MIT
process-nextick-args, 1.0.7, MIT
process-nextick-args, 2.0.1, MIT
public-encrypt, 4.0.3, MIT
punycode, 1.3.2, MIT
punycode, 1.4.1, MIT
querystring, 0.2.0, MIT
querystring-es3, 0.2.1, MIT
queue-async, 1.2.1, "New BSD"
quote-stream, 0.0.0, MIT
quote-stream, 1.0.2, MIT
randombytes, 2.1.0, MIT
randomfill, 1.0.4, MIT
read-only-stream, 2.0.0, MIT
readable-stream, 1.0.34, MIT
readable-stream, 1.1.14, MIT
readable-stream, 2.0.6, MIT
readable-stream, 2.3.7, MIT
resolve, 1.1.7, MIT
resolve, 1.15.1, MIT
ripemd160, 2.0.2, MIT
safe-buffer, 5.1.2, MIT
sax, 1.2.4, ISC
shallow-copy, 0.0.1, MIT
shasum, 1.0.2, MIT
shasum-object, 1.0.0, "Apache 2.0"
shelf-pack, 2.0.1, ISC
shell-quote, 1.7.2, MIT
simple-concat, 1.0.0, MIT
source-map, 0.1.43, BSD
source-map, 0.5.7, "New BSD"
static-eval, 0.2.4, MIT
static-module, 1.5.0, MIT
stream-browserify, 2.0.2, MIT
stream-combiner2, 1.1.1, MIT
stream-http, 2.8.3, MIT
stream-splicer, 2.0.1, MIT
string_decoder, 0.10.31, MIT
string_decoder, 1.1.1, MIT
subarg, 1.0.0, MIT
syntax-error, 1.4.0, MIT
through, 2.3.8, MIT
through2, 0.4.2, MIT
through2, 2.0.5, MIT
timers-browserify, 1.4.2, MIT
to-arraybuffer, 1.0.1, MIT
tty-browserify, 0.0.1, MIT
typedarray, 0.0.6, MIT
umd, 3.0.3, MIT
undeclared-identifiers, 1.1.3, "Apache 2.0"
url, 0.11.0, MIT
util, 0.10.3, MIT
util, 0.10.4, MIT
util-deprecate, 1.0.2, MIT
vm-browserify, 0.0.4, MIT
wrappy, 1.0.2, ISC
xml2js, 0.4.23, MIT
xmlbuilder, 11.0.1, MIT
xtend, 2.1.2, MIT
xtend, 4.0.2, MIT
